"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
174422016,17442,2016,"SC0010000","SC0010000","","N","N",,"I","ABBEVILLE","ABBEVILLE CO SO ABBEVILLE","Abbeville","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","County",15960,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",26,6,32,3,26,29,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174432016,17443,2016,"SC0010100","SC0010100","","N","N",,"I","ABBEVILLE","ABBEVILLE PD","Abbeville","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",5177,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",18,0,18,2,1,3,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-APR-17,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174462016,17446,2016,"SC0010400","SC0010400","","N","N",,"I","DUE WEST","DUE WEST PD","Due West","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",1238,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,0,0,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174472016,17447,2016,"SC0012600","SC0012600","","N","N",,"I","STP: ABBEVILLE COUNTY","STATE TRANSPORT POLICE","State Transport Police:","Abbeville County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",2,0,2,0,0,0,0,0,01-JAN-90,01-AUG-10,01-SEP-10,01-MAR-14,,01-FEB-18,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174482016,17448,2016,"SC0019E00","SC0019E00","","N","N",,"I","ERSKINE COLLEGE","ERSKINE COLLEGE","Erskine College","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","University or College",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,1,1,0,0,01-JAN-90,01-JAN-96,01-AUG-08,01-MAY-11,,01-FEB-17,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174502016,17450,2016,"SC001FC00","SC001FC00","","N","N",,"I","FC: ABBEVILLE COUNTY","FC: ABBEVILLE COUNTY","Forestry Commission:","Abbeville County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",62,0,62,5,0,5,0,0,01-JAN-90,01-JAN-97,01-MAY-10,01-MAY-11,,01-FEB-17,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174512016,17451,2016,"SC001NR00","SC001NR00","","N","N",,"I","DNR: ABBEVILLE COUNTY","DNR: ABBEVILLE COUNTY","Department of Natural Resources:","Abbeville County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",3,0,3,0,0,0,0,0,01-JAN-90,01-FEB-99,01-JAN-07,,,,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174522016,17452,2016,"SC001SP00","SC001SP00","","N","N",,"I","HP: ABBEVILLE COUNTY","HP: ABBEVILLE COUNTY","Highway Patrol:","Abbeville County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","State Police",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,0,8,0,0,0,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-JUN-11,,01-FEB-17,"N","ABBEVILLE","Non-MSA","Y","Y","Y"
174532016,17453,2016,"SC0020000","SC0020000","","N","N",,"I","AIKEN","AIKEN CO SO AIKEN","Aiken","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","County",105616,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",123,53,176,13,57,70,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174542016,17454,2016,"SC0020100","SC0020100","","N","N",,"I","AIKEN","AIKEN PD","Aiken","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",30800,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",74,10,84,12,18,30,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
