"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,131048503,115299459,1,5,21,"M",2,,21,0
2019,131048505,115295761,0,,,"",,,,
2019,131055648,115295903,2,4,,"M",2,,,
2019,131050495,115295903,5,4,,"M",2,,,
2019,131055650,115295903,4,4,,"M",2,,,
2019,131055649,115295903,3,4,,"M",2,,,
2019,131055647,115295903,1,4,,"M",2,,,
2019,131048653,115301645,1,4,,"M",2,,,
2019,131048654,115301645,2,4,,"F",2,,,
2019,131050533,115295935,1,5,20,"M",1,,20,0
2019,131050552,115295951,1,5,21,"M",1,,21,0
2019,131050576,115295974,1,4,,"U",0,,,
2019,131048716,115295985,0,,,"",,,,
2019,131048724,115295995,1,5,21,"F",2,,21,0
2019,131048725,115295995,2,5,22,"F",2,,22,0
2019,131055751,115295997,1,5,22,"F",2,,19,25
2019,131055755,115301691,1,5,25,"F",2,,25,0
2019,131055758,115296000,1,5,39,"M",2,,39,0
2019,131055763,115296005,1,5,29,"M",2,,29,0
2019,131048731,115296005,2,5,31,"F",2,,31,0
2019,131055776,115299680,1,5,13,"M",2,,13,0
2019,131050619,115296010,0,,,"",,,,
2019,131055797,115296017,2,5,17,"M",1,,17,0
2019,131048742,115296017,1,5,21,"M",1,,21,0
2019,131055799,115296018,1,5,39,"M",1,,39,0
2019,131050625,115296019,0,,,"",,,,
2019,131055802,115296020,1,4,,"M",2,,,
2019,131055825,115296031,2,5,40,"M",1,,40,0
2019,131055824,115296031,1,5,49,"F",1,,49,0
2019,131050645,115296036,1,5,22,"M",2,,22,0
2019,131048781,115296039,1,5,52,"F",1,,52,0
2019,131050683,115296059,1,5,51,"F",1,,51,0
2019,131048808,115296068,1,5,22,"M",2,,22,0
2019,131048933,115306199,1,5,32,"F",1,,32,0
2019,131052542,115307653,0,,,"",,,,
2019,131052543,115307654,1,4,,"M",2,,,
2019,131052545,115307657,0,,,"",,,,
2019,131052548,115307659,0,,,"",,,,
2019,137692024,121134549,1,5,28,"M",2,,28,0
2019,131052551,115307663,1,4,,"U",0,,,
2019,131052554,115307665,0,,,"",,,,
2019,131052556,115307667,1,4,,"M",2,,,
2019,131052561,115307670,1,4,,"M",2,,,
2019,131052565,115307675,1,5,41,"M",2,,41,0
2019,131052566,115307675,2,5,35,"M",2,,35,0
2019,131052568,115307677,2,5,17,"F",2,,17,0
2019,131052567,115307677,1,5,29,"F",2,,29,0
2019,131052569,115307680,0,,,"",,,,
2019,131052571,115307682,1,5,55,"M",1,,55,0
2019,131060977,115307683,1,4,,"M",2,,,
2019,131060979,115307683,3,4,,"F",2,,,
2019,131060978,115307683,2,4,,"M",2,,,
2019,131052573,115307684,1,5,20,"M",2,,20,0
2019,131060982,115307686,2,5,28,"M",1,,28,0
2019,131060981,115307686,1,5,18,"F",1,,18,0
2019,131052581,115307690,1,5,31,"M",1,,31,0
2019,131052586,115307692,1,5,61,"M",2,,61,0
2019,131057764,115307693,1,5,25,"M",2,,25,0
2019,131057765,115307695,0,,,"",,,,
2019,131052592,115307698,1,5,35,"M",1,,35,0
2019,131052595,115307700,0,,,"",,,,
2019,137692036,121134569,1,5,31,"M",1,,31,0
2019,131060990,115307705,1,5,41,"F",1,,41,0
2019,137692076,121138469,1,5,22,"M",2,,22,0
2019,131052606,115307711,1,5,60,"M",2,,60,0
2019,131057778,115307713,1,4,,"M",1,,,
2019,131052608,115307714,0,,,"",,,,
2019,131052614,115307716,1,4,,"F",1,,,
2019,131057780,115307718,1,5,27,"F",1,,27,0
2019,131052618,115307720,1,5,27,"M",2,,25,29
2019,131052620,115307721,1,4,,"F",0,,,
2019,131052623,115307724,1,5,37,"M",1,,35,39
2019,137692093,121134612,1,5,17,"M",1,,17,0
2019,131052627,115307729,1,5,18,"F",1,,18,0
2019,131052628,115307729,2,5,21,"M",2,,21,0
2019,137689344,121134612,3,4,,"F",1,,,
2019,131052637,115307734,2,5,20,"F",2,,20,0
2019,131052636,115307734,1,5,24,"M",2,,24,0
2019,131052643,115307738,1,5,27,"M",2,,27,0
2019,131057792,115307741,1,5,25,"M",1,,25,0
2019,137692094,121134612,2,5,17,"M",1,,17,0
2019,131052649,115307745,1,5,30,"M",2,,30,0
2019,131052651,115307747,0,,,"",,,,
2019,131052654,115307749,0,,,"",,,,
2019,137689374,121138509,1,5,34,"M",1,,34,0
2019,131052656,115307751,1,4,,"F",1,,,
2019,131052657,115307752,1,5,32,"F",1,,32,0
2019,131052661,115307756,1,5,29,"M",2,,29,0
2019,131061019,115307762,0,,,"",,,,
2019,131061021,115303585,0,,,"",,,,
2019,131052673,115307766,0,,,"",,,,
2019,131052684,115307772,1,5,52,"M",1,,52,0
2019,131052687,115307775,1,5,29,"M",2,,29,0
2019,131052691,115307778,0,,,"",,,,
2019,131052694,115307781,0,,,"",,,,
2019,131052696,115307782,0,,,"",,,,
2019,131052701,115307785,1,4,,"M",1,,,
2019,131052703,115307786,0,,,"",,,,
2019,131052707,115307792,1,4,,"M",2,,,
2019,131052709,115307794,0,,,"",,,,
2019,131052713,115307796,1,5,20,"M",1,,20,0
2019,131052716,115307799,1,5,22,"M",1,,22,0
2019,131052719,115307801,1,5,50,"M",1,,50,0
2019,137692156,121128943,1,5,22,"M",1,,22,0
2019,131052723,115307805,1,5,10,"M",2,,7,13
2019,131052725,115307805,3,5,10,"M",2,,7,13
2019,131052724,115307805,2,5,10,"M",2,,7,13
2019,137689434,121128952,1,5,14,"F",1,,14,0
2019,137689435,121128952,2,5,17,"F",2,,17,0
2019,131052733,115307810,1,5,48,"F",1,,48,0
2019,131061045,115307812,1,4,,"U",0,,,
2019,131052737,115307816,0,,,"",,,,
2019,131052739,115307818,1,5,20,"M",2,,20,0
2019,137689440,121128959,1,5,28,"M",2,,28,0
2019,131052746,115307824,1,5,46,"M",2,,46,0
2019,131052747,115307825,1,5,33,"M",1,,33,0
2019,131052751,115307827,0,,,"",,,,
2019,131052753,115307829,0,,,"",,,,
2019,131057841,115307830,0,,,"",,,,
2019,131052757,115307833,2,4,,"F",2,,,
2019,131052758,115307833,3,4,,"M",2,,,
2019,131061053,115307833,1,4,,"F",2,,,
2019,131052761,115307835,1,4,,"F",2,,,
2019,131052764,115307837,2,4,,"M",2,,,
2019,131052763,115307837,1,4,,"M",2,,,
2019,131052765,115307837,3,4,,"M",2,,,
2019,131052767,115307839,0,,,"",,,,
2019,137692211,121128971,1,5,20,"M",1,,20,0
2019,131061057,115307842,1,5,34,"F",1,,34,0
2019,137692247,121128993,1,5,45,"M",1,,45,0
2019,131052773,115307845,0,,,"",,,,
2019,131052776,115307847,1,4,,"F",1,,,
2019,131061061,115307849,1,5,28,"M",2,,28,0
2019,137692280,121134758,0,,,"",,,,
2019,131052782,115307851,2,5,35,"F",2,,35,0
2019,131052781,115307851,1,5,45,"F",2,,45,0
2019,131057862,115307853,0,,,"",,,,
2019,131052786,115307855,1,5,20,"M",1,,20,0
2019,131052788,115307857,1,5,31,"F",1,,31,0
2019,131057865,115307862,0,,,"",,,,
2019,137689557,121134782,1,5,32,"M",2,,32,0
2019,131052806,115307865,1,5,17,"M",1,,17,0
2019,131057867,115307867,1,5,34,"M",2,,34,0
2019,131052810,115307868,0,,,"",,,,
2019,131057870,115307871,2,4,,"F",2,,,
2019,131052812,115307871,1,4,,"F",2,,,
2019,131061076,115307873,1,5,35,"M",1,,35,0
2019,131052814,115307875,1,5,42,"M",1,,42,0
2019,131052816,115307877,1,5,25,"M",2,,25,0
2019,131052818,115307879,0,,,"",,,,
2019,131052819,115307881,1,5,60,"F",1,,60,0
2019,131052820,115307882,0,,,"",,,,
2019,131052821,115307884,1,5,35,"F",1,,35,0
2019,131052822,115307884,2,5,38,"M",1,,38,0
2019,137692311,121134782,2,5,20,"M",1,,20,0
2019,131057879,115307888,1,5,27,"M",1,,25,30
2019,131052828,115307889,1,4,,"U",0,,,
2019,137692318,121138691,1,5,32,"M",2,,32,0
2019,131061089,115307893,1,5,28,"M",2,,28,0
2019,137689582,121138703,1,4,,"M",2,,,
2019,131052837,115307897,0,,,"",,,,
2019,131057884,115307901,1,5,32,"M",1,,32,0
2019,131061095,115307902,2,5,41,"M",1,,41,0
2019,131061094,115307902,1,5,47,"F",1,,47,0
2019,131057886,115307903,1,5,27,"M",1,,27,0
2019,131061099,115307906,1,5,82,"F",1,,82,0
2019,137689624,121138743,1,5,31,"F",2,,31,0
2019,137689657,121129057,1,5,12,"M",2,,12,0
2019,131057893,115307910,1,5,24,"F",1,,24,0
2019,131052854,115307910,2,5,26,"M",2,,26,0
2019,131061102,115307911,0,,,"",,,,
2019,137682866,121129072,1,5,42,"F",1,,42,0
2019,137689874,121134994,1,5,19,"F",1,,19,0
2019,137682974,121138983,1,5,32,"F",2,,32,0
2019,137682976,121138983,2,5,46,"F",2,,46,0
2019,137689923,121135035,1,5,47,"M",1,,47,0
2019,137689954,121129191,1,5,40,"M",1,,40,0
2019,137694970,121129196,1,5,17,"M",2,,17,0
2019,137694998,121129205,0,,,"",,,,
2019,137683019,121129219,1,5,23,"M",1,,23,0
2019,126833900,111922714,1,4,,"F",2,,,
2019,126842220,111922727,1,5,39,"F",1,,39,0
2019,126838971,111927177,0,,,"",,,,
2019,131050702,115296077,0,,,"",,,,
2019,131048812,115296081,1,5,49,"M",1,,49,0
2019,131050718,115296087,1,4,,"M",2,,,
2019,131050815,115301811,1,5,28,"F",2,,28,0
2019,131050839,115301830,1,5,20,"F",2,,20,0
2019,131050834,115301836,4,4,,"F",2,,,
2019,131048910,115301836,2,4,,"F",2,,,
2019,131048909,115301836,1,5,36,"F",2,,36,0
2019,131050833,115301836,3,4,,"F",2,,,
2019,131056046,115306230,1,5,44,"M",2,,44,0
2019,131056084,115306257,1,5,19,"M",1,,19,0
2019,131048988,115299924,1,5,35,"M",2,,35,0
2019,131049001,115306274,1,5,27,"M",1,,27,0
2019,131049088,115301979,3,5,38,"M",1,,38,0
2019,131049087,115301979,2,5,39,"M",1,,39,0
2019,131049085,115301979,1,5,34,"M",1,,34,0
2019,131050990,115306316,1,5,22,"M",1,,22,0
2019,131049105,115306327,0,,,"",,,,
2019,131049106,115299989,1,5,34,"F",2,,34,0
2019,131056185,115306343,1,5,24,"F",2,,24,0
2019,131051039,115302016,1,4,,"M",2,,,
2019,131051045,115306360,0,,,"",,,,
2019,131049134,115300014,1,5,58,"M",2,,58,0
2019,131051057,115306371,1,5,18,"M",2,,18,0
2019,131051058,115306371,2,5,16,"M",2,,16,0
2019,131051059,115306371,3,5,18,"M",1,,18,0
2019,131051069,115302026,1,4,,"F",1,,,
2019,131051070,115302026,2,4,,"M",1,,,
2019,131049151,115306383,1,5,37,"F",1,,37,0
2019,137688425,121137716,1,5,48,"M",2,,48,0
2019,137691271,121133921,2,5,36,"F",2,,36,0
2019,137682159,121133921,3,5,17,"F",2,,17,0
2019,137691270,121133921,1,4,,"M",2,,,
2019,137691302,121128516,1,5,64,"M",2,,64,0
2019,137682187,121137780,2,5,30,"F",1,,30,0
2019,137682186,121137780,1,5,37,"M",1,,37,0
2019,137682219,121128549,1,5,32,"M",2,,32,0
2019,137691356,121128549,3,5,20,"F",2,,20,0
2019,137691355,121128549,2,5,26,"F",1,,26,0
2019,137688527,121128561,0,,,"",,,,
2019,137688530,121128569,0,,,"",,,,
2019,137682273,121128596,1,4,,"F",2,,,
2019,137688566,121128611,1,5,24,"M",2,,24,0
2019,137691427,121134038,0,,,"",,,,
2019,137691461,121128651,1,5,26,"M",2,,26,0
2019,137688659,121128670,1,5,49,"M",2,,49,0
2019,137682357,121128673,1,5,58,"M",1,,58,0
2019,137688669,121137941,1,5,38,"M",2,,38,0
2019,137688679,121128680,2,5,69,"M",2,,69,0
2019,137688678,121128680,1,5,57,"F",2,,57,0
2019,137682382,121134118,1,4,,"U",0,,,
2019,137682383,121134118,2,4,,"U",0,,,
2019,137691550,121134132,1,5,56,"F",1,,56,0
2019,137691564,121138003,1,5,26,"M",2,,26,0
2019,137682411,121128713,1,5,20,"F",2,,20,0
2019,137688887,121128755,1,5,23,"M",2,,23,0
2019,137682484,121138137,0,,,"",,,,
2019,137691723,121134292,0,,,"",,,,
2019,137682498,121138174,1,5,27,"M",2,,27,0
2019,137682503,121128786,1,5,53,"M",2,,53,0
2019,137691815,121138244,1,5,25,"M",2,,20,30
2019,137682529,121138244,2,5,25,"M",2,,20,30
2019,137691875,121128827,1,5,54,"M",1,,54,0
2019,137691899,121128836,1,5,29,"F",2,,29,0
2019,137691901,121128836,2,5,29,"M",2,,29,0
2019,131048659,115295910,1,5,26,"F",1,,26,0
2019,131056240,115306398,0,,,"",,,,
2019,131051155,115306451,0,,,"",,,,
2019,131049292,115302145,0,,,"",,,,
2019,131051189,115306483,1,5,17,"M",1,,17,0
2019,131051196,115300111,0,,,"",,,,
2019,131056315,115306499,1,5,26,"F",1,,26,0
2019,131056316,115302162,1,5,31,"M",1,,31,0
2019,131049311,115306505,1,5,34,"M",2,,34,0
2019,131049315,115306510,0,,,"",,,,
2019,131051226,115306520,1,5,35,"M",1,,35,0
2019,131051239,115306530,3,4,,"M",2,,,
2019,131056327,115306530,1,4,,"M",2,,,
2019,131051238,115306530,2,4,,"M",2,,,
2019,131051240,115306530,4,4,,"M",2,,,
2019,131051244,115306531,2,5,34,"F",1,,34,0
2019,131051243,115306531,1,5,35,"M",1,,35,0
2019,131051249,115306536,1,5,19,"M",2,,19,0
2019,131056346,115302195,0,,,"",,,,
2019,131049349,115302203,1,5,31,"M",2,,31,0
2019,131051508,115300577,1,5,50,"M",1,,50,0
2019,131049607,115302433,1,4,,"U",0,,,
2019,131049609,115306788,1,5,50,"F",1,,50,0
2019,131056926,115300600,1,5,22,"M",1,,22,0
2019,131051547,115300602,1,5,49,"M",2,,49,0
2019,131056930,115300604,1,5,70,"M",1,,70,0
2019,131051550,115306804,1,4,,"U",0,,,
2019,131051561,115306811,1,4,,"U",0,,,
2019,131056939,115302448,0,,,"",,,,
2019,131049640,115306824,2,5,23,"F",1,,23,0
2019,131049639,115306824,1,5,26,"M",2,,26,0
2019,131056966,115302488,1,4,,"F",2,,,
2019,131056972,115306842,1,5,32,"M",1,,32,0
2019,131051603,115306847,1,5,42,"M",1,,42,0
2019,131057031,115306883,0,,,"",,,,
2019,131057061,115306900,2,5,30,"F",1,,30,0
2019,131057060,115306900,1,5,32,"F",1,,32,0
2019,131057066,115306903,1,5,35,"F",1,,35,0
2019,131049747,115306903,2,5,32,"M",1,,32,0
2019,131049801,115300760,1,5,27,"F",1,,25,30
2019,131057124,115300760,2,5,67,"F",1,,65,70
2019,131057133,115300763,1,5,35,"M",1,,35,0
2019,131049824,115306935,1,5,33,"M",2,,33,0
2019,131051725,115306940,0,,,"",,,,
2019,131057157,115302606,0,,,"",,,,
2019,131057190,115306955,1,4,,"M",1,,,
2019,131057200,115306961,1,4,,"F",2,,,
2019,131057212,115300817,1,5,25,"M",2,,25,0
2019,131049875,115306976,1,5,29,"F",2,,29,0
2019,131049884,115306982,0,,,"",,,,
2019,131051775,115302664,1,5,25,"M",1,,25,0
2019,131057243,115306993,1,4,,"U",0,,,
2019,131049919,115307005,1,5,20,"M",2,,20,0
2019,131057262,115307014,1,5,42,"M",1,,42,0
2019,131049939,115307014,2,5,62,"F",1,,62,0
2019,131051793,115300854,1,5,35,"F",2,,35,0
2019,131051798,115307016,0,,,"",,,,
2019,131051811,115307032,1,5,35,"M",1,,30,40
2019,131059972,115307039,1,5,18,"M",2,,18,0
2019,131057292,115307042,0,,,"",,,,
2019,131059976,115307047,1,5,20,"M",2,,20,0
2019,131059981,115307050,1,5,29,"M",1,,29,0
2019,131057306,115307054,1,5,21,"M",2,,21,0
2019,131051842,115302734,1,5,29,"M",1,,29,0
2019,131057320,115302750,1,5,30,"F",2,,30,0
2019,131060012,115302750,2,5,34,"M",2,,34,0
2019,131051853,115307073,0,,,"",,,,
2019,131060023,115307075,0,,,"",,,,
2019,131060038,115307082,1,5,25,"M",1,,25,0
2019,131060042,115307085,1,5,26,"F",2,,26,0
2019,131051867,115300907,2,4,,"M",2,,,
2019,131051869,115300907,4,4,,"F",2,,,
2019,131051871,115300907,6,4,,"M",2,,,
2019,131060047,115300907,1,5,40,"F",2,,35,45
2019,131051868,115300907,3,4,,"F",2,,,
2019,131051870,115300907,5,4,,"F",2,,,
2019,131051875,115307092,0,,,"",,,,
2019,131060058,115307094,1,5,28,"M",2,,28,0
2019,131051885,115307099,1,5,32,"M",2,,32,0
2019,131060098,115302813,1,5,64,"M",1,,64,0
2019,131057353,115307115,1,5,33,"M",2,,33,0
2019,131060152,115307130,1,5,40,"M",2,,40,0
2019,131060187,115307140,4,4,,"U",0,,,
2019,131060186,115307140,3,4,,"U",0,,,
2019,131060185,115307140,2,4,,"U",0,,,
2019,131060184,115307140,1,4,,"U",0,,,
2019,131051922,115307140,5,4,,"U",0,,,
2019,131048906,115299846,2,5,27,"F",2,,27,0
2019,131048905,115299846,1,5,36,"F",2,,36,0
2019,131050860,115306202,1,5,39,"F",1,,39,0
2019,131056034,115299881,1,5,18,"M",1,,18,0
2019,131056160,115306314,1,5,41,"M",1,,41,0
2019,131056174,115306321,0,,,"",,,,
2019,131051004,115306323,1,5,17,"M",2,,17,0
2019,131051067,115306377,1,5,27,"M",2,,27,0
2019,131051071,115306380,1,5,31,"M",1,,31,0
2019,131056241,115300052,1,5,27,"F",2,,27,0
2019,131049190,115302069,0,,,"",,,,
2019,131049203,115306412,0,,,"",,,,
2019,131051120,115306417,0,,,"",,,,
2019,131049208,115306419,0,,,"",,,,
2019,131051127,115306422,1,5,27,"M",2,,20,35
2019,131051128,115302088,1,5,28,"M",2,,28,0
2019,131051130,115306426,0,,,"",,,,
2019,131056268,115300076,1,5,37,"M",2,,37,0
2019,131051138,115306434,0,,,"",,,,
2019,131056277,115302107,1,5,12,"F",1,,12,0
2019,131056281,115300084,1,5,55,"M",1,,55,0
2019,131049258,115306455,1,5,39,"F",2,,39,0
2019,131051176,115306468,1,5,56,"M",2,,56,0
2019,131049285,115306472,3,5,17,"M",2,,17,0
2019,131049284,115306472,2,5,20,"M",2,,20,0
2019,131049283,115306472,1,5,20,"M",2,,20,0
2019,131056307,115300108,1,5,13,"M",2,,13,0
2019,131056312,115306495,1,4,,"F",2,,,
2019,131056313,115300116,1,5,52,"M",1,,52,0
2019,131051208,115306500,1,5,56,"M",1,,56,0
2019,131051217,115306513,1,5,19,"M",1,,19,0
2019,131051223,115300123,0,,,"",,,,
2019,131049330,115306532,1,4,,"U",0,,,
2019,131051246,115306533,1,5,28,"F",1,,28,0
2019,131056329,115306537,1,5,32,"M",2,,30,35
2019,131056337,115306542,1,4,,"U",0,,,
2019,131056338,115306543,1,5,29,"M",1,,29,0
2019,131056343,115306546,1,5,24,"M",2,,24,0
2019,131051263,115302194,1,5,23,"M",1,,23,0
2019,131056351,115300143,0,,,"",,,,
2019,131051277,115306557,1,5,40,"M",1,,40,0
2019,131056905,115306776,0,,,"",,,,
2019,131056909,115306784,1,5,26,"M",2,,26,0
2019,131051531,115302434,1,5,45,"F",1,,45,0
2019,131051536,115306796,1,5,35,"M",2,,35,0
2019,131056918,115306796,2,5,34,"M",2,,34,0
2019,131051541,115306799,1,5,22,"F",1,,22,0
2019,131056927,115300601,1,5,28,"M",2,,28,0
2019,131049621,115306803,0,,,"",,,,
2019,131051559,115300612,2,5,37,"M",0,,37,0
2019,131051558,115300612,1,5,61,"F",2,,61,0
2019,131051567,115302450,1,5,36,"M",1,,36,0
2019,131049631,115306817,1,5,44,"F",1,,44,0
2019,131049632,115306817,2,5,38,"M",2,,38,0
2019,131051575,115306823,1,5,26,"M",1,,26,0
2019,131051580,115306827,0,,,"",,,,
2019,131056953,115302472,0,,,"",,,,
2019,131056965,115302484,1,5,20,"M",1,,20,0
2019,131056973,115306841,1,5,24,"M",2,,24,0
2019,131056978,115306843,1,5,41,"M",2,,41,0
2019,131049687,115306846,1,5,24,"M",1,,24,0
2019,131049689,115306846,3,5,35,"F",1,,35,0
2019,131049688,115306846,2,5,27,"M",1,,27,0
2019,131056981,115306850,0,,,"",,,,
2019,131056986,115306854,1,5,29,"M",2,,29,0
2019,131051614,115306857,1,4,,"U",1,,,
2019,131051619,115306858,0,,,"",,,,
2019,131051622,115306860,0,,,"",,,,
2019,131051627,115306864,1,5,30,"F",1,,30,0
2019,131057004,115306867,1,5,78,"M",1,,78,0
2019,131057014,115300675,1,5,26,"F",1,,26,0
2019,131049762,115300724,1,5,33,"M",1,,33,0
2019,131049784,115306915,0,,,"",,,,
2019,131057104,115306919,1,5,21,"M",2,,21,0
2019,131057132,115300766,2,5,21,"M",2,,18,25
2019,131057130,115300766,1,5,21,"M",2,,18,25
2019,131051709,115302587,1,5,36,"M",2,,36,0
2019,131051712,115306930,1,5,39,"F",2,,39,0
2019,131057153,115302594,1,5,52,"M",1,,52,0
2019,131049860,115306956,1,5,47,"M",1,,47,0
2019,139583047,122753702,2,5,19,"M",2,,19,0
2019,139586937,122753702,4,5,19,"M",2,,19,0
2019,131049878,115300821,1,5,33,"M",1,,33,0
2019,131051771,115306985,1,5,40,"M",1,,40,0
2019,131049894,115306990,1,5,17,"M",2,,17,0
2019,139583471,122754030,1,5,30,"F",2,,30,0
2019,131051789,115307004,1,5,25,"M",2,,25,0
2019,131057261,115307012,0,,,"",,,,
2019,131057270,115307018,1,5,43,"M",1,,43,0
2019,131049951,115307021,1,5,40,"F",2,,40,0
2019,131049956,115307027,1,5,48,"M",1,,48,0
2019,139587237,122761573,1,5,48,"M",2,,48,0
2019,131051809,115307031,1,4,,"M",2,,,
2019,139590742,122754039,1,5,42,"M",1,,42,0
2019,131051821,115307037,0,,,"",,,,
2019,139583519,122754056,3,5,41,"M",1,,41,0
2019,131057294,115307044,1,4,,"M",0,,,
2019,131057295,115307044,2,4,,"M",0,,,
2019,131059975,115307045,1,5,19,"M",2,,19,0
2019,131059984,115307051,0,,,"",,,,
2019,139587259,122754056,1,5,31,"M",1,,31,0
2019,131057308,115300887,2,4,,"M",2,,,
2019,131057307,115300887,1,4,,"M",2,,,
2019,131059991,115302731,1,5,30,"M",1,,30,0
2019,131059994,115307061,0,,,"",,,,
2019,139587260,122754056,2,5,35,"F",1,,35,0
2019,131051855,115307076,0,,,"",,,,
2019,131057333,115307078,1,5,40,"M",1,,40,0
2019,131060034,115307080,2,5,55,"M",2,,55,0
2019,131060033,115307080,1,5,50,"F",2,,50,0
2019,139587272,122761589,1,5,20,"M",2,,20,0
2019,131057345,115302788,1,5,64,"F",1,,64,0
2019,131051886,115307100,1,5,27,"M",1,,27,0
2019,139590768,122754076,1,5,39,"F",2,,39,0
2019,139583552,122754084,2,4,,"F",2,,,
2019,131060090,115307108,1,5,28,"M",2,,28,0
2019,131057350,115300923,1,5,20,"F",1,,20,0
2019,131060093,115300923,2,5,23,"M",1,,23,0
2019,131051893,115302814,0,,,"",,,,
2019,131060113,115302822,1,5,33,"F",1,,33,0
2019,131060114,115302822,2,5,61,"M",2,,61,0
2019,131051898,115307117,0,,,"",,,,
2019,131060121,115307119,1,5,21,"M",2,,21,0
2019,131051911,115307126,1,5,42,"M",1,,42,0
2019,131057362,115302851,1,5,22,"M",2,,20,25
2019,131057363,115302851,2,5,22,"M",2,,20,25
2019,139590776,122754084,1,5,32,"F",2,,32,0
2019,131060167,115307136,0,,,"",,,,
2019,139587311,122758738,1,5,37,"M",2,,37,0
2019,139587312,122754087,1,5,38,"F",1,,38,0
2019,131051927,115307143,0,,,"",,,,
2019,139587313,122754087,2,5,22,"F",2,,22,0
2019,139583572,122761629,1,5,23,"F",1,,23,0
2019,131051931,115307149,0,,,"",,,,
2019,131060230,115307153,1,5,20,"M",1,,20,0
2019,131057393,115307154,2,4,,"M",2,,,
2019,131057392,115307154,1,5,15,"M",2,,14,16
2019,131051936,115307155,2,5,32,"M",1,,32,0
2019,131051935,115307155,1,5,26,"M",1,,26,0
2019,131051938,115307158,1,4,,"U",0,,,
2019,131051943,115307159,1,5,30,"M",1,,30,0
2019,131057399,115307162,1,5,33,"M",2,,33,0
2019,131057404,115307163,2,5,38,"M",1,,38,0
2019,131051950,115307163,1,5,31,"M",1,,31,0
2019,131057405,115300976,0,,,"",,,,
2019,131060267,115307165,0,,,"",,,,
2019,131060272,115307167,3,5,27,"M",2,,25,30
2019,131060271,115307167,2,5,27,"F",2,,25,30
2019,131051954,115307167,1,5,27,"F",2,,25,30
2019,131057422,115307169,2,4,,"M",0,,,
2019,131057421,115307169,1,5,40,"M",0,,35,45
2019,131051956,115307170,0,,,"",,,,
2019,131057426,115307171,1,5,31,"F",1,,31,0
2019,131060289,115307172,2,5,49,"F",1,,49,0
2019,131060288,115307172,1,5,32,"M",1,,32,0
2019,131060292,115302960,1,5,25,"F",2,,25,0
2019,131057433,115307173,0,,,"",,,,
2019,131060302,115307174,1,5,24,"M",2,,24,0
2019,131057439,115307175,1,5,63,"M",1,,63,0
2019,139587331,122754100,1,5,22,"M",2,,22,0
2019,131051967,115307177,0,,,"",,,,
2019,131060313,115307178,1,4,,"M",0,,,
2019,131060314,115307178,2,4,,"F",0,,,
2019,131051970,115307179,2,5,37,"M",2,,35,40
2019,131051969,115307179,1,5,27,"M",2,,25,30
2019,131057448,115307181,1,5,55,"M",1,,55,0
2019,131060322,115302988,1,4,,"M",2,,,
2019,139587332,122754100,2,5,22,"M",2,,22,0
2019,131060327,115302996,0,,,"",,,,
2019,131060329,115307184,1,4,,"U",0,,,
2019,131060332,115307185,1,5,15,"M",2,,15,0
2019,131060334,115307185,3,5,14,"M",2,,14,0
2019,131060333,115307185,2,5,15,"M",2,,15,0
2019,131060339,115303005,1,5,42,"M",2,,40,45
2019,131051978,115307186,1,5,56,"M",1,,56,0
2019,131051980,115307187,1,5,37,"F",1,,37,0
2019,139590794,122754102,1,5,41,"M",1,,41,0
2019,139583576,122754103,1,5,29,"M",1,,29,0
2019,131051986,115307190,1,5,17,"M",1,,17,0
2019,131060361,115307191,1,5,32,"M",1,,32,0
2019,131051989,115307193,1,5,27,"F",2,,27,0
2019,131060374,115303027,1,4,,"M",2,,,
2019,131051994,115307197,0,,,"",,,,
2019,131060392,115307201,1,5,58,"M",1,,58,0
2019,139590799,122761646,1,5,53,"F",1,,53,0
2019,131052011,115307209,1,5,47,"M",1,,47,0
2019,131060404,115307212,1,5,70,"F",2,,70,0
2019,131060406,115307212,2,5,33,"F",2,,33,0
2019,131052015,115303057,1,5,19,"M",2,,19,0
2019,131060413,115307215,0,,,"",,,,
2019,131052023,115307220,1,4,,"M",0,,,
2019,131060419,115307221,1,4,,"M",2,,,
2019,131052026,115307224,0,,,"",,,,
2019,131057498,115307226,0,,,"",,,,
2019,131052028,115307228,0,,,"",,,,
2019,131052031,115307231,0,,,"",,,,
2019,139587352,122754110,1,5,28,"M",2,,28,0
2019,131060443,115307236,1,5,49,"F",1,,49,0
2019,131060446,115307237,0,,,"",,,,
2019,131052039,115307239,0,,,"",,,,
2019,131060453,115307241,1,4,,"M",2,,,
2019,131052043,115307243,1,5,52,"M",1,,52,0
2019,131060461,115307246,1,5,53,"M",1,,53,0
2019,139583585,122754111,1,5,51,"M",2,,51,0
2019,139583589,122761649,1,5,47,"F",1,,47,0
2019,139583594,122758753,2,5,13,"F",2,,13,0
2019,131052066,115307256,1,5,58,"M",2,,58,0
2019,139587361,122758753,1,5,36,"F",2,,36,0
2019,131060478,115307258,1,5,35,"M",2,,30,40
2019,131052069,115307259,0,,,"",,,,
2019,139587373,122754118,1,5,33,"M",1,,33,0
2019,131057522,115307261,1,5,26,"M",1,,26,0
