"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2017,10616,99842243,7635093,"",04-SEP-18,20-FEB-17,"",23,6,,0,"C","F",25000853
2017,10544,99842362,7928629,"",04-SEP-18,23-MAY-17,"",6,6,,0,"C","F",25001363
2017,10616,99845097,7635093,"",04-SEP-18,23-FEB-17,"",10,6,,0,"C","F",25000906
2017,10544,99845121,7574466,"",04-SEP-18,14-APR-17,"",14,6,,0,"C","F",25001062
2017,10544,99845126,7574466,"",04-SEP-18,18-APR-17,"",10,6,,0,"C","F",24992872
2017,10544,99848018,7928629,"",04-SEP-18,08-MAY-17,"",10,6,,0,"C","F",25001231
2017,10544,99845157,7928629,"",04-SEP-18,09-MAY-17,"",21,6,,0,"C","F",24992962
2017,10544,99848055,7928629,"",04-SEP-18,09-MAY-17,"",15,6,,0,"C","F",25001287
2017,10544,99845193,7928629,"",04-SEP-18,26-MAY-17,"",22,6,,0,"C","F",24996110
2017,10544,99845199,7928629,"",04-SEP-18,29-MAY-17,"",0,6,,0,"C","F",24996120
2017,10690,99855779,7607555,"",04-SEP-18,19-JUN-17,"",16,6,,0,"C","F",25008204
2017,10611,99858368,7608077,"",04-SEP-18,12-MAY-17,"",8,6,,0,"C","F",25016988
2017,10622,99858380,7608079,"",04-SEP-18,16-JUL-17,"",0,6,,0,"C","F",25008267
2017,10622,99858387,7608079,"",04-SEP-18,30-JUL-17,"",8,6,,0,"C","F",25014424
2017,10622,99851944,7608078,"",04-SEP-18,21-JUN-17,"",3,6,,0,"C","F",25017039
2017,10689,99851952,7608512,"",04-SEP-18,21-JUN-17,"",9,6,,0,"C","F",25014450
2017,10557,99851976,7608521,"",04-SEP-18,22-JUN-17,"",20,6,,0,"C","F",25014504
2017,10692,99858416,7608518,"",04-SEP-18,14-MAY-17,"",5,6,,0,"C","F",25017079
2017,10653,99855906,7608516,"",04-SEP-18,01-JUN-17,"",12,6,,0,"C","F",25008310
2017,10557,99851968,7608521,"",04-SEP-18,08-JUN-17,"",12,6,,0,"C","F",25008315
2017,10725,111726907,8236621,"N",29-MAY-19,03-APR-17,"",19,6,,0,"C","F",47608944
2017,10725,111719559,7637403,"N",29-MAY-19,26-JUL-17,"",23,6,,0,"C","F",47608951
2017,10725,111719562,7552609,"",29-MAY-19,25-MAR-17,"",19,6,,0,"C","F",47608946
2017,10725,111726914,7876824,"N",29-MAY-19,06-NOV-17,"",0,6,,0,"C","F",47617166
2017,10725,111719568,7928832,"",29-MAY-19,14-DEC-17,"",1,6,,0,"C","F",47608963
2017,10737,99852957,7635066,"",04-SEP-18,28-MAY-17,"",12,6,,0,"C","F",25003211
2017,10737,99845540,7635069,"",04-SEP-18,02-JUN-17,"",19,6,,0,"C","F",24993979
2017,10635,99845551,7638247,"",04-SEP-18,11-JUN-17,"",18,6,,0,"C","F",25003255
2017,10622,99849336,7575213,"",04-SEP-18,21-APR-17,"",22,6,,0,"C","F",25003279
2017,10622,99849342,8234145,"",04-SEP-18,07-MAY-17,"",22,6,,0,"C","F",25003301
2017,10703,99849377,8236612,"",04-SEP-18,09-APR-17,"",20,6,,0,"C","F",25003356
2017,10703,99845576,7608528,"",04-SEP-18,04-MAY-17,"",0,6,,0,"C","F",24994023
2017,10602,99845589,7551603,"",04-SEP-18,29-MAR-17,"",18,6,,0,"C","F",24994057
2017,10602,99853023,7551603,"",04-SEP-18,31-MAR-17,"",8,6,,0,"C","F",25003463
2017,10602,99849426,7551603,"",04-SEP-18,01-MAR-17,"",9,6,,0,"C","F",24994065
2017,10602,99849446,7574959,"",04-SEP-18,03-APR-17,"",0,6,,0,"C","F",25003487
2017,10611,99849508,7608077,"",04-SEP-18,03-MAY-17,"",3,6,,0,"C","F",25003565
2017,10611,99845628,7608077,"",04-SEP-18,15-MAY-17,"",19,6,,0,"C","F",25003583
2017,10649,99845737,7607548,"",04-SEP-18,23-MAY-17,"",18,6,,0,"C","F",25003950
2017,10668,99845656,7608072,"",04-SEP-18,05-APR-17,"",19,6,,0,"C","F",25003704
2017,10764,99853118,7608538,"",04-SEP-18,13-APR-17,"",19,6,,0,"C","F",24996809
2017,10738,99853148,7608544,"",04-SEP-18,05-APR-17,"",18,6,,0,"C","F",24994229
2017,10738,99849679,7608544,"",04-SEP-18,12-APR-17,"",10,6,,0,"C","F",24994246
2017,10738,99845694,7608546,"",04-SEP-18,06-MAY-17,"",18,6,,0,"C","F",25003821
2017,10738,99853181,7608546,"",04-SEP-18,09-MAY-17,"",14,6,,0,"C","F",24994263
2017,10738,99845702,7608546,"",04-SEP-18,23-MAY-17,"",20,6,,0,"C","F",25003843
2017,10670,99845719,8234150,"",04-SEP-18,09-FEB-17,"",18,6,,0,"C","F",25003903
2017,10670,99845729,8234150,"",04-SEP-18,19-FEB-17,"",14,6,,0,"C","F",24996904
2017,10574,99849813,7608561,"",04-SEP-18,04-MAY-17,"",21,6,,0,"C","F",25004033
2017,10574,99849837,7608564,"",04-SEP-18,10-JUN-17,"",1,6,,0,"C","F",25004060
2017,10723,99853299,8234155,"",04-SEP-18,09-MAY-17,"",8,6,,0,"C","F",24994457
2017,10728,99849888,7608545,"",04-SEP-18,23-JUN-17,"",11,6,,0,"C","F",24994473
2017,10596,99849897,8239807,"",04-SEP-18,08-MAY-17,"",20,6,,0,"C","F",25004147
2017,10732,99849921,7635065,"",04-SEP-18,06-JUN-17,"",8,6,,0,"C","F",25004197
2017,10767,99845768,8234157,"",04-SEP-18,25-JUN-17,"",17,6,,0,"C","F",25004229
2017,10587,99845776,8234160,"",04-SEP-18,30-MAY-17,"",2,6,,0,"C","F",25004257
2017,10747,99853441,7638314,"",04-SEP-18,18-JUN-17,"",0,6,,0,"C","F",24997120
2017,10768,99845790,8234162,"",04-SEP-18,31-MAY-17,"",0,6,,0,"C","F",25004328
2017,10653,99849994,8236620,"",04-SEP-18,15-MAY-17,"",19,6,,0,"C","F",25004337
2017,10653,99850011,8236620,"",04-SEP-18,08-MAY-17,"",14,6,,0,"C","F",25004375
2017,10575,99845807,8236623,"",04-SEP-18,19-MAY-17,"",0,6,,0,"C","F",24997062
2017,10575,99845812,8236624,"",04-SEP-18,06-JUN-17,"",0,6,,0,"C","F",24994635
2017,10742,99845818,7607761,"",04-SEP-18,05-MAY-17,"",7,6,,0,"C","F",25004466
2017,10752,99853410,8236625,"",04-SEP-18,31-MAY-17,"",1,6,,0,"C","F",25004486
2017,10752,99853412,8239811,"",04-SEP-18,14-APR-17,"",17,6,,0,"C","F",25004505
2017,10747,99850126,7638316,"",04-SEP-18,04-MAY-17,"",0,6,,0,"C","F",24997110
2017,10689,99853435,7608510,"",04-SEP-18,24-MAY-17,"",19,6,,0,"C","F",24997113
2017,10708,99852714,8236611,"",04-SEP-18,05-APR-17,"",16,6,,0,"C","F",25002483
2017,10708,99852727,7638277,"",04-SEP-18,18-JUN-17,"",17,6,,0,"C","F",25002522
2017,10736,99845425,7636520,"",04-SEP-18,27-FEB-17,"",17,6,,0,"C","F",24996498
2017,10736,99848974,7636520,"",04-SEP-18,15-FEB-17,"",9,6,,0,"C","F",25002875
2017,10736,99852838,7636521,"",04-SEP-18,09-MAR-17,"",10,6,,0,"C","F",25002878
2017,10736,99849004,7493470,"",04-SEP-18,15-JAN-17,"",2,6,,0,"C","F",24993828
2017,10736,99849025,7636521,"",04-SEP-18,22-MAR-17,"",18,6,,0,"C","F",25002917
2017,10737,99849081,7575071,"",04-SEP-18,25-APR-17,"",12,6,,0,"C","F",25002991
2017,10737,99849128,7575071,"",04-SEP-18,24-APR-17,"",19,6,,0,"C","F",25003043
2017,10737,99849171,7635066,"",04-SEP-18,10-MAY-17,"",10,6,,0,"C","F",25003087
2017,10737,99849201,7575071,"",04-SEP-18,21-APR-17,"",11,6,,0,"C","F",24996585
2017,10737,99849225,7635066,"",04-SEP-18,16-MAY-17,"",18,6,,0,"C","F",25003138
2017,10737,99849237,7635066,"",04-SEP-18,09-MAY-17,"",0,6,,0,"C","F",25003153
2017,10737,99845526,7635066,"",04-SEP-18,25-MAY-17,"",17,6,,0,"C","F",24993958
2017,10757,99845846,7470512,"",04-SEP-18,01-JAN-17,"",0,6,,0,"C","F",24994716
2017,10734,99850501,7607529,"",04-SEP-18,26-JUN-17,"",8,6,,0,"C","F",25010172
2017,10770,99850505,7607533,"",04-SEP-18,29-JUN-17,"",9,6,,0,"C","F",25010186
2017,10770,99845962,7607533,"",04-SEP-18,05-JUN-17,"",21,6,,0,"C","F",25010195
2017,10740,99853664,7607536,"",04-SEP-18,10-JUL-17,"",11,6,,0,"C","F",24997414
2017,10740,99845984,7607536,"",04-SEP-18,14-JUL-17,"",23,6,,0,"C","F",24997415
2017,10726,99850550,7575304,"",04-SEP-18,11-MAY-17,"",18,6,,0,"C","F",25010309
2017,10721,99853759,7607539,"",04-SEP-18,15-APR-17,"",10,6,,0,"C","F",25005710
2017,10721,99846043,7607542,"",04-SEP-18,02-JUN-17,"",23,6,,0,"C","F",25005674
2017,10721,99853722,7607542,"",04-SEP-18,06-JUN-17,"",14,6,,0,"C","F",25005678
2017,10721,99853749,7607542,"",04-SEP-18,23-JUN-17,"",11,6,,0,"C","F",25010385
2017,10602,99853769,7607546,"",04-SEP-18,09-JUN-17,"",0,6,,0,"C","F",25005723
2017,10602,99850592,7607546,"",04-SEP-18,09-JUN-17,"",8,6,,0,"C","F",25005724
2017,10649,99846126,7607553,"",04-SEP-18,19-JUL-17,"",5,6,,0,"C","F",25005765
2017,10650,99853943,7607549,"",04-SEP-18,01-JUN-17,"",18,6,,0,"C","F",24997994
2017,10650,99853925,7607549,"",04-SEP-18,01-JUN-17,"",0,6,,0,"C","F",24997969
2017,10650,99846263,7607549,"",04-SEP-18,03-JUN-17,"",12,6,,0,"C","F",25005949
2017,10650,99846284,7607549,"",04-SEP-18,02-JUN-17,"",18,6,,0,"C","F",24997997
2017,10650,99846290,7607549,"",04-SEP-18,01-JUN-17,"",17,6,,0,"C","F",25005967
2017,10650,99846305,7607549,"",04-SEP-18,07-JUN-17,"",22,6,,0,"C","F",25010836
2017,10650,99846317,7607549,"",04-SEP-18,11-JUN-17,"",10,6,,0,"C","F",25010852
2017,10650,99850737,7607549,"",04-SEP-18,11-JUN-17,"",18,6,,0,"C","F",25005986
2017,10650,99854004,7607549,"",04-SEP-18,16-JUN-17,"",14,6,,0,"C","F",24998056
2017,10650,99846355,7607549,"",04-SEP-18,18-JUN-17,"",9,6,,0,"C","F",24998074
2017,10650,99846364,7607549,"",04-SEP-18,18-JUN-17,"",5,6,,0,"C","F",25006004
2017,10650,99846377,7493307,"",04-SEP-18,03-JAN-17,"",0,6,,0,"C","F",24998094
2017,10650,99846395,7607549,"",04-SEP-18,21-JUN-17,"",19,6,,0,"C","F",25006020
2017,10770,99850502,7493178,"",04-SEP-18,22-FEB-17,"",16,6,,0,"C","F",25010183
2017,10740,99845982,7607536,"",04-SEP-18,12-JUL-17,"",22,6,,0,"C","F",25010230
2017,10740,99850522,7607536,"",04-SEP-18,21-JUL-17,"",10,6,,0,"C","F",24997422
2017,10726,99850541,7574467,"",04-SEP-18,25-APR-17,"",17,6,,0,"C","F",24997491
2017,10602,99853789,7607546,"",04-SEP-18,24-JUN-17,"",17,6,,0,"C","F",25005742
2017,10649,99846122,7607553,"",04-SEP-18,19-JUL-17,"",21,6,,0,"C","F",24997642
2017,10745,99852184,7635067,"",04-SEP-18,24-SEP-17,"",9,6,,0,"C","F",25008678
2017,10640,99858683,7635071,"",04-SEP-18,28-JUN-17,"",8,6,,0,"C","F",25017554
2017,10640,99856189,7608570,"",04-SEP-18,28-MAY-17,"",18,6,,0,"C","F",25017561
2017,10640,99856201,7635072,"",04-SEP-18,24-JUL-17,"",14,6,,0,"C","F",25008758
2017,10640,99856212,7635074,"",04-SEP-18,06-AUG-17,"",10,6,,0,"C","F",25020005
2017,10640,99858720,7635074,"",04-SEP-18,20-AUG-17,"",22,6,,0,"C","F",25020018
2017,10640,99858726,7635074,"",04-SEP-18,29-AUG-17,"",20,6,,0,"C","F",25017605
2017,10740,99858742,7607536,"",04-SEP-18,27-JUL-17,"",21,6,,0,"C","F",25020046
2017,10740,99858747,7635076,"",04-SEP-18,03-AUG-17,"",1,6,,0,"C","F",25008806
2017,10740,99858755,7635076,"",04-SEP-18,16-AUG-17,"",7,6,,0,"C","F",25008822
2017,10740,99858780,7635078,"",04-SEP-18,07-SEP-17,"",18,6,,0,"C","F",25020083
2017,10737,99856284,7635069,"",04-SEP-18,03-JUN-17,"",3,6,,0,"C","F",25017703
2017,10737,99856293,7635069,"",04-SEP-18,07-JUN-17,"",9,6,,0,"C","F",25017717
2017,10745,99858630,7635064,"",04-SEP-18,15-AUG-17,"",19,6,,0,"C","F",25008656
2017,10646,99832022,7552598,"",04-SEP-18,15-MAR-17,"",22,6,,0,"C","F",24954198
2017,10690,99827196,7552030,"",04-SEP-18,15-FEB-17,"",11,6,,0,"C","F",24964812
2017,10593,99821952,7552028,"",04-SEP-18,13-FEB-17,"",0,6,,0,"C","F",24964858
2017,10611,99821971,7552039,"",04-SEP-18,03-MAR-17,"",0,6,,0,"C","F",24959277
2017,10611,99821985,7552039,"",04-SEP-18,23-MAR-17,"",19,6,,0,"C","F",24954135
2017,10752,99827285,7552587,"",04-SEP-18,20-MAR-17,"",2,6,,0,"C","F",24965080
2017,10751,99832052,7552604,"",04-SEP-18,27-JAN-17,"",8,6,,0,"C","F",24954208
2017,10684,99825129,7493308,"",04-SEP-18,17-JAN-17,"",18,6,,0,"C","F",24948577
2017,10690,99820677,7493311,"",04-SEP-18,20-JAN-17,"",22,6,,0,"C","F",24951729
2017,10690,99825266,7493311,"",04-SEP-18,31-JAN-17,"",20,6,,0,"C","F",24948875
2017,10650,99820700,7493307,"",04-SEP-18,07-JAN-17,"",22,6,,0,"C","F",24955658
2017,10740,99824166,7493175,"",04-SEP-18,16-FEB-17,"",16,6,,0,"C","F",24943586
2017,10770,99827708,7493177,"",04-SEP-18,06-JAN-17,"",6,6,,0,"C","F",24946894
2017,10770,99827717,7493177,"",04-SEP-18,25-JAN-17,"",12,6,,0,"C","F",24946903
2017,10728,99822034,7552608,"",04-SEP-18,08-MAR-17,"",23,6,,0,"C","F",24965260
2017,10563,99822401,7574458,"",04-SEP-18,02-MAR-17,"",19,6,,0,"C","F",24954922
2017,10563,99832578,7574458,"",04-SEP-18,07-MAR-17,"",17,6,,0,"C","F",24966309
2017,10563,99832597,7574458,"",04-SEP-18,19-MAR-17,"",11,6,,0,"C","F",24966334
2017,10563,99832610,7574458,"",04-SEP-18,24-MAR-17,"",17,6,,0,"C","F",24971157
2017,10563,99832622,7574458,"",04-SEP-18,23-MAR-17,"",15,6,,0,"C","F",24971162
2017,10721,99832658,7574451,"",04-SEP-18,23-FEB-17,"",20,6,,0,"C","F",24971220
2017,10650,99848480,7574471,"",04-SEP-18,05-MAY-17,"",15,6,,0,"C","F",24996385
2017,10650,99848364,7493313,"",04-SEP-18,23-MAR-17,"",16,6,,0,"C","F",24993339
2017,10650,99845335,7574471,"",04-SEP-18,14-MAY-17,"",21,6,,0,"C","F",25002179
2017,10650,99845304,7493313,"",04-SEP-18,14-MAR-17,"",22,6,,0,"C","F",25002057
2017,10650,99845307,7493313,"",04-SEP-18,17-MAR-17,"",7,6,,0,"C","F",25002065
2017,10650,99848437,7574471,"",04-SEP-18,01-MAY-17,"",0,6,,0,"C","F",24993399
2017,10746,99843847,7493698,"",04-SEP-18,09-MAR-17,"",13,6,,0,"C","F",24978023
2017,10650,99845326,7574471,"",04-SEP-18,08-MAY-17,"",3,6,,0,"C","F",25002143
2017,10747,99843820,7552034,"",04-SEP-18,23-MAR-17,"",16,6,,0,"C","F",24977902
2017,10747,99843823,7552034,"",04-SEP-18,27-MAR-17,"",10,6,,0,"C","F",24977908
2017,10747,99840308,7574564,"",04-SEP-18,20-APR-17,"",22,6,,0,"C","F",24982853
2017,10746,99843911,7574957,"",04-SEP-18,20-APR-17,"",17,6,,0,"C","F",24978194
2017,10746,99834646,7493698,"",04-SEP-18,21-MAR-17,"",3,6,,0,"C","F",24983102
2017,10746,99840408,7493698,"",04-SEP-18,25-MAR-17,"",19,6,,0,"C","F",24983134
2017,10746,99840452,7574957,"",04-SEP-18,03-APR-17,"",7,6,,0,"C","F",24983305
2017,10746,99840463,7574957,"",04-SEP-18,07-APR-17,"",20,6,,0,"C","F",24983335
2017,10746,99840488,7574957,"",04-SEP-18,11-APR-17,"",14,6,,0,"C","F",24983395
2017,10746,99843914,7574957,"",04-SEP-18,22-APR-17,"",18,6,,0,"C","F",24983495
2017,10746,99843919,7574957,"",04-SEP-18,28-APR-17,"",17,6,,0,"C","F",24983557
2017,10685,99844222,7607550,"",04-SEP-18,30-JUN-17,"",0,6,,0,"C","F",24986087
2017,10572,99844003,7575048,"",04-SEP-18,04-MAR-17,"",15,6,,0,"C","F",24984647
2017,10721,99835414,7574451,"",04-SEP-18,23-FEB-17,"",12,6,,0,"C","F",24986171
2017,10721,99841098,7607539,"",04-SEP-18,15-APR-17,"",11,6,,0,"C","F",24979243
2017,10721,99841105,7607539,"",04-SEP-18,22-APR-17,"",8,6,,0,"C","F",24990591
2017,10721,99841115,7607539,"",04-SEP-18,27-APR-17,"",19,6,,0,"C","F",24986257
2017,10721,99844252,7607541,"",04-SEP-18,23-MAY-17,"",11,6,,0,"C","F",24986283
2017,10684,99852708,7636433,"",04-SEP-18,28-MAY-17,"",23,6,,0,"C","F",24993610
2017,10737,99838991,7575071,"",04-SEP-18,14-APR-17,"",9,6,,0,"C","F",24976592
2017,10544,99830035,7493510,"",04-SEP-18,20-MAR-17,"",14,6,,0,"C","F",24961333
2017,10544,99821408,7493510,"",04-SEP-18,30-MAR-17,"",13,6,,0,"C","F",24961360
2017,10640,99821411,7493210,"",04-SEP-18,27-JAN-17,"",14,6,,0,"C","F",24953035
2017,10649,99830247,7551605,"",04-SEP-18,04-MAR-17,"",20,6,,0,"C","F",24957632
2017,10602,99826403,7551601,"",04-SEP-18,04-FEB-17,"",12,6,,0,"C","F",24961551
2017,10602,99821422,7551601,"",04-SEP-18,10-FEB-17,"",16,6,,0,"C","F",24957576
2017,10734,99845943,7607529,"",04-SEP-18,11-JUN-17,"",21,6,,0,"C","F",25010165
2017,10770,99821448,7551610,"",04-SEP-18,12-MAR-17,"",0,6,,0,"C","F",24957678
2017,10746,99830377,7493426,"",04-SEP-18,05-FEB-17,"",7,6,,0,"C","F",24957851
2017,10610,99853633,7607528,"",04-SEP-18,20-JUL-17,"",12,6,,0,"C","F",25010176
2017,10653,99826558,7551837,"",04-SEP-18,21-MAR-17,"",8,6,,0,"C","F",24962264
2017,10770,99853639,7607533,"",04-SEP-18,04-JUN-17,"",9,6,,0,"C","F",24997378
2017,10721,99821513,7551833,"",04-SEP-18,09-JAN-17,"",0,6,,0,"C","F",24962356
2017,10721,99853743,7607542,"",04-SEP-18,18-JUN-17,"",14,6,,0,"C","F",24997557
2017,10562,99821535,7493179,"",04-SEP-18,16-JAN-17,"",12,6,,0,"C","F",24962484
2017,10562,99821541,7551951,"",04-SEP-18,09-FEB-17,"",17,6,,0,"C","F",24962506
2017,10740,99830629,7493175,"",04-SEP-18,25-FEB-17,"",9,6,,0,"C","F",24962526
2017,10740,99826643,7551976,"",04-SEP-18,12-MAR-17,"",11,6,,0,"C","F",24953334
2017,10770,99845957,7607534,"",04-SEP-18,06-JUL-17,"R",,6,,0,"C","F",24997377
2017,10740,99845973,7607535,"",04-SEP-18,17-JUN-17,"",21,6,,0,"C","F",25005576
2017,10574,99821573,7551993,"",04-SEP-18,05-MAR-17,"",2,6,,0,"C","F",24953377
2017,10574,99830737,7551993,"",04-SEP-18,14-MAR-17,"",7,6,,0,"C","F",24953382
2017,10574,99830769,7551993,"",04-SEP-18,29-MAR-17,"",16,6,,0,"C","F",24958229
2017,10726,99850549,7575304,"",04-SEP-18,24-MAY-17,"",15,6,,0,"C","F",24997500
2017,10650,99830779,7493313,"",04-SEP-18,01-MAR-17,"",15,6,,0,"C","F",24962720
2017,10650,99830834,7493313,"",04-SEP-18,22-MAR-17,"",5,6,,0,"C","F",24962825
2017,10650,99821636,7493313,"",04-SEP-18,13-MAR-17,"",17,6,,0,"C","F",24962925
2017,10757,99821646,7552025,"",04-SEP-18,20-FEB-17,"",0,6,,0,"C","F",24963004
2017,10635,99821647,7493466,"",04-SEP-18,07-JAN-17,"",20,4,18-MAR-17,0,"C","F",24963015
2017,10721,99846037,7607542,"",04-SEP-18,03-JUN-17,"",10,6,,0,"C","F",25005670
2017,10721,99846050,7607542,"",04-SEP-18,09-JUN-17,"",5,6,,0,"C","F",25010355
2017,10721,99853748,7607542,"",04-SEP-18,20-JUN-17,"",12,6,,0,"C","F",24997562
2017,10721,99850578,7607542,"",04-SEP-18,27-JUN-17,"",17,6,,0,"C","F",25010397
2017,10740,99837638,7574559,"",04-SEP-18,22-APR-17,"",23,6,,0,"C","F",25000543
2017,10690,99837619,7607531,"",04-SEP-18,19-MAY-17,"",20,6,,0,"C","F",24995798
2017,10690,99837629,7607531,"",04-SEP-18,26-MAY-17,"",21,6,,0,"C","F",24992562
2017,10740,99842126,7551976,"",04-SEP-18,15-MAR-17,"",8,6,,0,"C","F",25000560
2017,10740,99842134,7574559,"",04-SEP-18,20-APR-17,"",18,6,,0,"C","F",25000579
2017,10740,99845025,7607535,"",04-SEP-18,06-JUN-17,"",1,6,,0,"C","F",25000597
2017,10599,99842159,8236609,"",04-SEP-18,22-APR-17,"",20,6,,0,"C","F",24995835
2017,10599,99845042,7637412,"",04-SEP-18,30-JUN-17,"",20,6,,0,"C","F",24995840
2017,10543,99845046,7638401,"",04-SEP-18,25-APR-17,"",0,6,,0,"C","F",25000683
2017,10543,99845050,8234142,"",04-SEP-18,08-JUN-17,"",18,6,,0,"C","F",25000700
2017,10616,99845066,7635093,"",04-SEP-18,02-FEB-17,"",0,6,,0,"C","F",24992726
2017,10616,99845061,7635093,"",04-SEP-18,03-FEB-17,"",18,6,,0,"C","F",25000755
2017,10616,99842237,7635093,"",04-SEP-18,15-FEB-17,"",19,6,,0,"C","F",25000830
2017,10616,99847831,7635093,"",04-SEP-18,08-FEB-17,"",18,6,,0,"C","F",25000797
2017,10690,99858337,7607555,"",04-SEP-18,26-JUN-17,"",14,6,,0,"C","F",25014339
2017,10690,99855799,7607555,"",04-SEP-18,04-JUN-17,"",20,6,,0,"C","F",25014351
2017,10622,99855850,7608079,"",04-SEP-18,17-JUL-17,"",4,6,,0,"C","F",25017020
2017,10611,99851926,7608076,"",04-SEP-18,08-JUL-17,"",8,6,,0,"C","F",25014380
2017,10557,99858431,7608521,"",04-SEP-18,28-JUN-17,"",14,6,,0,"C","F",25008321
2017,10609,99851948,7608514,"",04-SEP-18,10-JUL-17,"",0,6,,0,"C","F",25014441
2017,10557,99858441,7608522,"",04-SEP-18,16-JUL-17,"",17,6,,0,"C","F",25017115
2017,10714,99858453,7608527,"",04-SEP-18,13-JUN-17,"",13,6,,0,"C","F",25008335
2017,10714,99858455,7608527,"",04-SEP-18,15-JUN-17,"",13,6,,0,"C","F",25014541
2017,10614,99873302,7658192,"",04-SEP-18,26-SEP-17,"",11,6,,0,"C","F",25039439
2017,10726,99873342,7658195,"",04-SEP-18,25-SEP-17,"",16,6,,0,"C","F",25045949
2017,10769,99855946,7608534,"",04-SEP-18,06-APR-17,"",14,6,,0,"C","F",25014561
2017,10769,99855948,7608534,"",04-SEP-18,07-APR-17,"",16,6,,0,"C","F",25017166
2017,10726,99866219,7658196,"",04-SEP-18,10-OCT-17,"",23,6,,0,"C","F",25045972
2017,10600,99858484,7608539,"",04-SEP-18,02-JUL-17,"",18,6,,0,"C","F",25017183
2017,10600,99855964,7608539,"",04-SEP-18,17-JUL-17,"",18,6,,0,"C","F",25014590
2017,10723,99855980,7608537,"",04-SEP-18,25-JUL-17,"",16,6,,0,"C","F",25014610
2017,10728,99858498,7608543,"",04-SEP-18,29-JUL-17,"",18,6,,0,"C","F",25008370
2017,10738,99858502,7575043,"",04-SEP-18,15-MAR-17,"",7,6,,0,"C","F",25017219
2017,10738,99855986,7608546,"",04-SEP-18,24-MAY-17,"",23,6,,0,"C","F",25017223
2017,10738,99852042,7608547,"",04-SEP-18,12-JUN-17,"",18,6,,0,"C","F",25017237
2017,10690,99855760,7607555,"",04-SEP-18,02-JUN-17,"",19,6,,0,"C","F",25008184
2017,10738,99852050,7608547,"",04-SEP-18,28-JUN-17,"",23,6,,0,"C","F",25014658
2017,10587,99858531,7608550,"",04-SEP-18,15-JUL-17,"",13,6,,0,"C","F",25014668
2017,10575,99856030,7608569,"",04-SEP-18,15-JUL-17,"",0,6,,0,"C","F",25017298
2017,10574,99852074,7608562,"",04-SEP-18,08-JUL-17,"",12,6,,0,"C","F",25008436
2017,10574,99856036,7608562,"",04-SEP-18,07-JUL-17,"",6,6,,0,"C","F",25014709
2017,10649,99871522,7658194,"",04-SEP-18,14-OCT-17,"",10,6,,0,"C","F",25040980
2017,10640,99856053,7608570,"",04-SEP-18,07-MAY-17,"",20,6,,0,"C","F",25008447
2017,10640,99858586,7608570,"",04-SEP-18,20-MAY-17,"",22,6,,0,"C","F",25008455
2017,10640,99852095,7608570,"",04-SEP-18,21-MAY-17,"",21,6,,0,"C","F",25008459
2017,10640,99858589,7608570,"",04-SEP-18,23-MAY-17,"",11,6,,0,"C","F",25008460
2017,10745,99858600,7635062,"",04-SEP-18,18-JUN-17,"",22,6,,0,"C","F",25008503
2017,10732,99852165,7635068,"",04-SEP-18,28-AUG-17,"",0,6,,0,"C","F",25008642
2017,10732,99858620,7635068,"",04-SEP-18,09-AUG-17,"",21,4,19-AUG-17,0,"C","F",25017449
2017,10732,99852160,7635070,"",04-SEP-18,18-SEP-17,"",19,6,,0,"C","F",25008634
2017,10589,99834794,7638322,"",04-SEP-18,16-JUN-17,"",8,6,,0,"C","F",24985204
2017,10721,99837686,7574452,"",04-SEP-18,28-MAR-17,"",17,6,,0,"C","F",24966472
2017,10671,99834816,8234141,"",04-SEP-18,05-APR-17,"",10,6,,0,"C","F",24985248
2017,10721,99822464,7574452,"",04-SEP-18,10-MAR-17,"",22,6,,0,"C","F",24975009
2017,10726,102002101,7574467,"",21-DEC-18,21-APR-17,"",15,6,,0,"C","F",29329105
2017,10671,99844041,7638294,"",04-SEP-18,09-MAY-17,"",18,6,,0,"C","F",24990090
2017,10671,99834845,7638294,"",04-SEP-18,20-MAY-17,"",0,6,,0,"C","F",24990098
2017,10649,99837843,7574459,"",04-SEP-18,15-APR-17,"",19,6,,0,"C","F",24966803
2017,10649,99822590,7574459,"",04-SEP-18,29-APR-17,"",23,6,,0,"C","F",24966813
2017,10726,99822638,7574467,"",04-SEP-18,02-APR-17,"",5,6,,0,"C","F",24971649
2017,10685,99840898,7493628,"",04-SEP-18,03-MAR-17,"",10,6,,0,"C","F",24985520
2017,10650,99842672,7552004,"",04-SEP-18,04-APR-17,"",6,6,,0,"C","F",24975369
2017,10685,99841076,7607550,"",04-SEP-18,26-JUN-17,"",7,6,,0,"C","F",24986074
2017,10650,99837984,7552004,"",04-SEP-18,08-APR-17,"",22,6,,0,"C","F",24967042
2017,10650,99842711,7552004,"",04-SEP-18,12-APR-17,"",21,6,,0,"C","F",24971778
2017,10608,99842764,7574472,"",04-SEP-18,05-MAR-17,"",23,6,,0,"C","F",24967214
2017,10608,99838110,7574473,"",04-SEP-18,17-APR-17,"",14,6,,0,"C","F",24967233
